user.name	tweet.location	tweet.geoLocation	tweet.retweet	tweet.content	block.numsenti.negative	senti.neutral	senti.positive	senti.compound
TotalTrafficPHX	Phoenix, AZ	-112.0093,33.59126	false	Accident in #Phoenix on State Rte 51 NB at Cactus Rd --- Exit 10 #PHXtraffic https://t.co/hUIi7YWVvM	338	0.171	0.829	0.0	-0.4767
SONICjobs	Phoenix, AZ	-112.1010754,33.6833468	false	Interested in a #job in #Phoenix, AZ? This could be a great fit: https://t.co/LQpw5A6uwH #TeamSonic #SonicJobs https://t.co/5awM8SwuaC	433	0.0	0.563	0.437	0.8519
IASISCareers	Phoenix, AZ	-112.0423562,33.4544851	false	See our latest #Phoenix, AZ #job and click to apply: Registered Nurse - Intensive Care Unit - Full Time -... - https://t.co/sYNxLyUOyd	196	0.0	0.849	0.151	0.4939
HelzbergJobs	Arizona, USA	-112.1859866,33.5386523	false	We're #hiring! Click to apply: Sales Associate - Retail Jewelry - https://t.co/jJPVbujTnW #Job #Sales #Glendale, AZ #Jobs	268	0.0	1.0	0.0	0.0
TotalTrafficPHX	Phoenix, AZ	-112.0303,33.42653	false	Accident in #Phoenix on I - 10 WB at 24th St --- Exit 150b #PHXtraffic https://t.co/hUIi7YWVvM	157	0.181	0.819	0.0	-0.4767
KingSolomon_25	Phoenix, AZ	-112.012558,33.6123886	false	Mark your calendars Dec. 10th! Come See Me Live @ Joe's Grotto 21+ Tickets $10 Buy One Get One https://t.co/zzj2SdFNsY	358	0.0	1.0	0.0	0.0
jswyble	Phoenix, AZ	-112.07638889,33.52833333	false	Let the holiday madness begin! Cheers, Drew! #thanksgiving #allthefamily #allthefood https://t.co/MWxfZMSlKk	274	0.168	0.463	0.369	0.5399
IASISCareers	Phoenix, AZ	-112.0423562,33.4544851	false	Want to work in #Phoenix, AZ? View our latest opening: https://t.co/Edsb1CHjJQ #Job #SignOnBonus #NurseLife https://t.co/ZxYcozCq0r	196	0.0	0.915	0.085	0.0772
WorkatAspect	Phoenix, AZ	-112.0740373,33.4483771	false	Can you recommend anyone for this #job? Data Artichect - https://t.co/vEQ0MxWdjz #techjobs #IT #Phoenix, AZ #Hiring	174	0.0	0.848	0.152	0.3612
SONICjobs	Phoenix, AZ	-112.0631996,33.4661784	false	We're #hiring! Read about our latest #job opening here: Restaurant Team Member (Crew) - https://t.co/xgNRDUFFIV https://t.co/fMgUDRqnJ1	195	0.0	1.0	0.0	0.0
Browneyes_2060	Phoenix, AZ	-112.0610653,33.3809942	false	What a monster! #OnTheCase #LindaRobinson	115	0.0	1.0	0.0	0.0
danielbearshit	Phoenix, AZ	-112.07556515,33.48139583	false	*caption about seeing the boys again* woo hoo thanksgiving break  @ Ryan House https://t.co/FGuMUjZbb0	214	0.0	0.795	0.205	0.4767
7redroses	Phoenix, AZ	-112.12173411,33.74216562	false	Next Meet-Up group! #journeycoach12 #panpastel @ Sage Luxury Apartment Homes https://t.co/AqqtbABUTS	512	0.0	1.0	0.0	0.0
TotalTrafficPHX	Phoenix, AZ	-112.0303,33.42653	false	Accident cleared in #Phoenix on I - 10 WB at 24th St --- Exit 150b #PHXtraffic https://t.co/hUIi7YWVvM	157	0.168	0.757	0.076	-0.4019
IASISCareers	Phoenix, AZ	-112.0423562,33.4544851	false	This #job might be a great fit for you: Registered Nurse - Cath Lab - Pre/ Post - Full Time - https://t.co/I1dzPDs6Hv	196	0.0	0.694	0.306	0.765
PhoenixCP	Phoenix, AZ	-112.09379298,33.46889822	false	When you realize you have to set an alarm and go back to work tomorrow! @FOX10Phoenix https://t.co/GRh1nkURqC	193	0.144	0.856	0.0	-0.4003
brian4dotcom	Arizona, USA	-112.256,33.5802	false	Strong, Good - Drinking a London Porter by @Fullers @ The Calm Before The Storm  https://t.co/3DFHByvO2N #photo	324	0.0	0.564	0.436	0.8176
IASISCareers	Phoenix, AZ	-112.0423562,33.4544851	false	Want to work at St. Luke's Medical Center? We're #hiring in #Phoenix, AZ! Click for details: https://t.co/b4mHoGkfDG	196	0.0	0.91	0.09	0.1511
JuanHtown84	Arizona, USA	-112.06944444,33.33611111	false	Dope just unlocked #Rosita #WalkingDead #NoMansLand @ South Mountain Park https://t.co/flgmhAt6HO	54	0.0	1.0	0.0	0.0
Yaboystokes	Phoenix, AZ	-112.178,33.502	false	"Big Gold Rope SBG Chain , I Made My Own Name By Stayin In My Own https://t.co/gpvGCEm9q6	229	0.0	1.0	0.0	0.0
SONICjobs	Phoenix, AZ	-112.1323768,33.6539661	false	We're #hiring! Click to apply: Restaurant Team Member (Crew) - https://t.co/W9U2umouID #TeamSonic #SonicJobs https://t.co/Xs6JUV6lcu	411	0.0	1.0	0.0	0.0
Browneyes_2060	Phoenix, AZ	-112.0607445,33.3810739	false	Takes you ALL the way back!!! #SoulTrainAwards	115	0.0	1.0	0.0	0.0
IASISCareers	Phoenix, AZ	-112.0423562,33.4544851	false	Can you recommend anyone for this #job in #Phoenix, AZ? https://t.co/fXxbCfTM6P #SignOnBonus #NurseLife #Nursing https://t.co/yqzjKDH3q4	196	0.0	0.848	0.152	0.3612
KelseyLee_D	Arizona, USA	-112.26249803,33.52812567	false	Had an amazing time as the sideline radio reporter for the 4A Football State Championship game! https://t.co/XGxyl6Kiqe	264	0.0	0.682	0.318	0.7901
priscillaaah	Phoenix, AZ	-112.08372116,33.50887419	false	 (@ Charlie's in Phoenix, AZ) https://t.co/YUdIbr4H9x	254	0.0	1.0	0.0	0.0
girlvsplanet	Phoenix, AZ	-112.032,33.6622	false	Everything is in boxes. All our stuff gets put on a truck tomorrow. Che... (120 Minute IPA (2010)) https://t.co/RYEZknl4Ay	417	0.0	1.0	0.0	0.0
TotalTrafficPHX	Phoenix, AZ	-112.0302,33.44723	false	Police directing traffic in #Phoenix on 24th St at Jefferson St #PHXtraffic https://t.co/hUIi7YWVvM	177	0.0	1.0	0.0	0.0
kimowens64	Arizona, USA	-112.23555853,33.61581458	false	Watching @isaiahsaldivar on Fresh Start TV  Airing one of our #revivalweekend services to our https://t.co/4UUuFB8hry	365	0.0	0.859	0.141	0.3182
IASISCareers	Phoenix, AZ	-112.0423562,33.4544851	false	This #job might be a great fit for you: Registered Nurse - Clinical Coordinator - ICU - Days - Full Time - https://t.co/w4y9GdsB2Q	196	0.0	0.694	0.306	0.765
PhoenixCP	Phoenix, AZ	-112.09379298,33.46889822	false	Most discussed topic in Phoenix right now: Friday Eve https://t.co/kkRINyFjyX	193	0.0	1.0	0.0	0.0
Crunkaholic87	Phoenix, AZ	-112.07638889,33.52833333	false	#personal thanks amazon for the drinkklear 40oz #klear bottle! just four a day will get me well https://t.co/NXvYCevGoJ	274	0.0	0.667	0.333	0.7177
Phoenix_LAF	Phoenix, AZ	-112.07372189,33.4462674	false	#PhoenixLostFound Little Black and White chihuahua found running around, scared, (Coolidge): Black and White https://t.co/tfWcErxcos	174	0.172	0.828	0.0	-0.4404
Phoenix_LAF	Phoenix, AZ	-112.07372189,33.4462674	false	#PhoenixLostFound Found dog - blonde lab mix (17th Ave & Highland): Found, blonde lab mix in the vicinity of 17th https://t.co/xcg1GZF9rB	174	0.0	1.0	0.0	0.0
Phoenix_LAF	Phoenix, AZ	-112.07372189,33.4462674	false	#PhoenixLostFound Found Pitbull - Weimaraner Mix: Found Pitbull - Weimaraner Mix 6-8 month old puppy. We picked https://t.co/otmmpeGDGF	174	0.0	1.0	0.0	0.0
Phoenix_LAF	Phoenix, AZ	-112.07372189,33.4462674	false	#PhoenixLostFound Found Pitbull - Weimaraner Mix: Found Pitbull - Weimaraner Mix 6-8 month old puppy. We picked https://t.co/WmTV0qm1Hm	174	0.0	1.0	0.0	0.0
Phoenix_LAF	Phoenix, AZ	-112.07372189,33.4462674	false	#PhoenixLostFound Lost chocolate brown Chihuahua (Gold Canyon): LOST DOG His name is Charlie. He is a 7 pound https://t.co/4HrjPZ3A9P	174	0.25	0.75	0.0	-0.6523
Phoenix_LAF	Phoenix, AZ	-112.07372189,33.4462674	false	#PhoenixLostFound Lost Maine Coon Cat (Tempe Broadway and Terrance): Male older cat Niko, Maine Coon he is really https://t.co/oPGe9ENXF5	174	0.113	0.887	0.0	-0.3182
Phoenix_LAF	Phoenix, AZ	-112.07372189,33.4462674	false	#PhoenixLostFound LOST Black/Brown Chihuahua (Sun City): Lost 11/26 short haired black/brown female chihuahua. https://t.co/utAGKMqvp3	174	0.308	0.692	0.0	-0.6523
Phoenix_LAF	Phoenix, AZ	-112.07372189,33.4462674	false	#PhoenixLostFound Found Tri-color Dog: Young black and white tricolor dog found at 51st Ave and Potter in Arrowhead https://t.co/GHzmUMsqxQ	174	0.0	1.0	0.0	0.0
Phoenix_LAF	Phoenix, AZ	-112.07372189,33.4462674	false	#PhoenixLostFound Lost dog (Suprise): Lost tea cup chihuahua white with tan spots black bow on collar...answers to https://t.co/BkGWZVIeaC	174	0.223	0.777	0.0	-0.5574
Phoenix_LAF	Phoenix, AZ	-112.07372189,33.4462674	false	#PhoenixLostFound Found 2 dogs cave creek/101: Found male black and white large dog, not sure of breed. Very https://t.co/tJQ4H2vxq5	174	0.103	0.897	0.0	-0.2411
Browneyes_2060	Phoenix, AZ	-112.0615164,33.3814093	false	23 years! He got by but he didn't get away! #OnTheCase #LindaRobinson	115	0.0	1.0	0.0	0.0
aboveimpeccable	Phoenix, AZ	-112.11064769,33.61166319	false	I   Tolerence @ Zia Records https://t.co/VVeTI32peQ	352	0.0	1.0	0.0	0.0
IASISCareers	Phoenix, AZ	-112.0423562,33.4544851	false	We're #hiring! Click to apply: Registered Nurse Traveler - Intensive Care Unit - Full Time - https://t.co/a7ZVvznxF5	196	0.0	0.788	0.212	0.5411
TotalTrafficPHX	Phoenix, AZ	-111.9688,33.44447	false	Accident in #Phoenix on Lp 202 WB at Van Buren St --- Exit 4 #PHXtraffic https://t.co/hUIi7Zewnk	180	0.181	0.819	0.0	-0.4767
SONICjobs	Phoenix, AZ	-112.1678195,33.3760855	false	This #job might be a great fit for you: General Manager - https://t.co/eczeJI89ZD #TeamSonic #SonicJobs https://t.co/PfPUwNLrq4	89	0.0	0.645	0.355	0.765
TotalTrafficPHX	Phoenix, AZ	-112.0485,33.66853	false	Accident in #Phoenix on Beardsley Rd east of 16th St #PHXtraffic https://t.co/hUIi7YWVvM	436	0.22	0.78	0.0	-0.4767
applecore98	Arizona, USA	-112.18718,33.62215	false	This.........Oh em gee, this song. #neveragain #alonewithmythoughts https://t.co/kDzxvYj3PQ	368	0.0	1.0	0.0	0.0
IASISCareers	Phoenix, AZ	-112.0423562,33.4544851	false	Can you recommend anyone for this #job in #Phoenix, AZ? https://t.co/UTZoKeLakK #SignOnBonus #NurseLife #Nursing https://t.co/4FmsDTwOlg	196	0.0	0.848	0.152	0.3612
applecore98	Arizona, USA	-112.18718,33.62215	false	....it's all your fault, I want you out of my head. @ Sun Creek https://t.co/DeKXsrYbVo	368	0.18	0.733	0.087	-0.34
IASISCareers	Phoenix, AZ	-112.0423562,33.4544851	false	Want to work in #Phoenix, AZ? View our latest opening: https://t.co/t6CjxSPkOV #Job #SignOnBonus #NurseLife https://t.co/Z1qsmTibUE	196	0.0	0.915	0.085	0.0772
schmumkin	Phoenix, AZ	-111.99941074,33.43576711	false	Finally (@ Phoenix Sky Harbor International Airport - @phxskyharbor in Phoenix, AZ) https://t.co/0S7cdg4n5s	178	0.0	1.0	0.0	0.0
PhoenixCP	Phoenix, AZ	-112.09379298,33.46889822	false	Here's a look at I-40 abt 5 miles west of Flagstaff. It's hard to make out in the dark, but it appears there's a l https://t.co/ohejFNZ3lz	193	0.046	0.802	0.153	0.5859
PhoenixCP	Phoenix, AZ	-112.09379298,33.46889822	false	Lisbon Moment: Red tile roofs seen from Miradouro da Senhora do Monte https://t.co/0Aui3Hfr5A	193	0.0	1.0	0.0	0.0
work4dominos	Arizona, USA	-112.1859866,33.5386523	false	We're #hiring! Read about our latest #job opening here: Delivery Driver - https://t.co/j4qbVklIsF #Hospitality #Glendale, AZ	268	0.0	1.0	0.0	0.0
IASISCareers	Phoenix, AZ	-112.0423562,33.4544851	false	If you're looking for work in #Phoenix, AZ, check out this #job: https://t.co/hfME7fNB9s #SignOnBonus #NurseLife https://t.co/FvbKVlvbr2	196	0.0	1.0	0.0	0.0
craycrayvaycay	Sun City, AZ	-112.282,33.6142	false	This showed up on my feed tonight and it is so #profound I had to https://t.co/NiZK7mTbLy	343	0.0	1.0	0.0	0.0
brian4dotcom	Arizona, USA	-112.256,33.5802	false	Good - Drinking a TreasureFest by @HeavySeasBeer @ The Calm Before The Storm  https://t.co/Gx4ID6XF3z #photo	324	0.0	0.658	0.342	0.6369
TotalTrafficPHX	Tempe, AZ	-111.9609,33.43787	false	Accident in #Phoenix on Lp 202 WB at Sky Harbor Blvd --- Exit 5 #PHXtraffic https://t.co/hUIi7YWVvM	180	0.181	0.819	0.0	-0.4767
StyleExec	Phoenix, AZ	-111.98801944,33.49179167	false	#Connections @ Camelback East, Phoenix https://t.co/eJIdUZHYSp	239	0.0	1.0	0.0	0.0
1man1husky	Phoenix, AZ	-112.07356,33.44791	false	When you are feeling all the feels. #mood #feelmylove garthbrooks_offical sings the best https://t.co/rWZYJd7flQ	174	0.0	0.678	0.322	0.6908
destinyceja14	Phoenix, AZ	-112.10409044,33.55428591	false	Ima Miss It Here Don't Wanna Go Back To ChowTown	293	0.151	0.849	0.0	-0.1531
IASISCareers	Phoenix, AZ	-112.0423562,33.4544851	false	Interested in a #job in #Phoenix, AZ? This could be a great fit: https://t.co/wtur6JuGIQ #SignOnBonus #NurseLife https://t.co/UJ9vNPWucG	196	0.0	0.563	0.437	0.8519
gbalicea	Phoenix, AZ	-112.07638889,33.52833333	false	Just did this but I'm so sad that I can't eat it.  @ Phoenix, Arizona https://t.co/KKrWSVFZYI	274	0.297	0.703	0.0	-0.757
Remixd_YoshiC	Phoenix, AZ	-112.15229,33.49177	false	Make a change #makeachange #givechange #redkettle #thesalvationarmy #phoenixmaryvalecorp https://t.co/2JSjonPOqr	230	0.0	1.0	0.0	0.0
SONICjobs	Arizona, USA	-112.2390975,33.681104	false	Join the SONIC Drive-In team! See our latest #job opening here: https://t.co/nJCYoZBF5L #TeamSonic #SonicJobs https://t.co/aSyVtOE4ax	425	0.0	0.849	0.151	0.3595
IASISCareers	Phoenix, AZ	-112.0423562,33.4544851	false	See our latest #Phoenix, AZ #job and click to apply: Registered Nurse - Adult Integrated Psych - Full Time - https://t.co/oQ3xELO1uR	196	0.0	1.0	0.0	0.0
PhoenixCP	Phoenix, AZ	-112.09379298,33.46889822	false	PSST: Tomorrow is the last day to take advantage of FREE adoptions at AZ Humane Society:abc15 https://t.co/pDXT94375p	193	0.0	0.713	0.287	0.7213
PapaEd	Arizona, USA	-112.18417818,33.54150378	false	Love this family and the memory they made last night at our vintage photo spot. Another special https://t.co/a0e8vs7Svn	268	0.0	0.699	0.301	0.7845
ultabeautyjobs	Phoenix, AZ	-112.1580802,33.4239014	false	If you're looking for work in #Phoenix, AZ, check out this #job: https://t.co/zOH28AXqaM #SupplyChain #Hiring https://t.co/1jagfqaOGn	150	0.0	1.0	0.0	0.0
work4dominos	Arizona, USA	-112.2373779,33.5805955	false	Join the Domino's team! See our latest #job opening here: https://t.co/XpFFUyhvDK #Hospitality #Peoria, AZ #Hiring	325	0.0	0.849	0.151	0.3595
Remixd_YoshiC	Phoenix, AZ	-112.15229,33.49177	false	Make a change #makeachange #givechange #redkettle #thesalvationarmy #phoenixmaryvalecorp https://t.co/P9qhNlxBSe	230	0.0	1.0	0.0	0.0
R2Compton	Phoenix, AZ	-112.0765933,33.4517809	false	Orkesta Mendoza @crescentphx! #LiveMusic in #DTPhx @ Crescent Ballroom https://t.co/P24MwbZMlA	174	0.0	1.0	0.0	0.0
eddiev_	Phoenix, AZ	-111.98801944,33.49179167	false	dolphin gang  @ Camelback East, Phoenix https://t.co/A2zkwNi7XC	239	0.0	1.0	0.0	0.0
kaytludi	Arizona, USA	-112.22051827,33.53884545	false	I'm at Bachelorette Party Pad in Glendale, AZ https://t.co/kRQY5VjcCh	266	0.0	0.748	0.252	0.4019
MIZVAZ	Phoenix, AZ	-112.07135783,33.44599537	false	Aye...Get it Phoenix @sunsdancers!!! Killin #choreopros16 Pro Dance Team Convention choreo by CP https://t.co/oC6Ij5T7PJ	174	0.0	1.0	0.0	0.0
Mustache_Mayor	Phoenix, AZ	-111.9859765,33.4699845	false	Just posted a photo @ Casitas Lindas, Phoenix, Arizona https://t.co/7Zs5SDd87B	199	0.0	1.0	0.0	0.0
Browneyes_2060	Phoenix, AZ	-112.0610674,33.3810576	false	I love @4everBrandy! Hella talented! #SoulTrainAwards	115	0.0	0.264	0.736	0.8547
PhoenixCP	Phoenix, AZ	-112.09379298,33.46889822	false	Weather now: moderate rain, 49F, 11 mph south-southwest wind. https://t.co/ST031yJhJB	193	0.0	1.0	0.0	0.0
ultabeautyjobs	Phoenix, AZ	-112.1580802,33.4239014	false	If you're looking for work in #Phoenix, AZ, check out this #job: https://t.co/CNdKsTKcOs #SupplyChain #Hiring https://t.co/RqKwTRs3FS	150	0.0	1.0	0.0	0.0
freedomofyou	Phoenix, AZ	-112.06640709,33.36989067	false	This I get but this new found thing called thirsty.....hmmmmm???? I enjoying daily thinking https://t.co/R8bH9Csg7l	95	0.0	0.683	0.317	0.7622
SONICjobs	Phoenix, AZ	-112.0096792,33.4806217	false	We're #hiring! Read about our latest #job opening here: Assistant Manager - https://t.co/veclM3pnPq #TeamSonic https://t.co/2OvVrgCozZ	218	0.0	1.0	0.0	0.0
brian4dotcom	Arizona, USA	-112.26820704,33.57241534	false	I'm at https://t.co/AEpLcco6hk World HQ in Peoria, AZ https://t.co/vsfDaPgkyY	304	0.0	1.0	0.0	0.0
TotalTrafficPHX	Phoenix, AZ	-111.9744,33.3637	false	Accident in #Phoenix on 48th St at E Guadalupe Rd #PHXtraffic https://t.co/hUIi7YWVvM	100	0.237	0.763	0.0	-0.4767
asyrafali14	Phoenix, AZ	-112.02083333,33.5475	false	Unwind before finals @ Piestewa Peak https://t.co/oeZJKgWr9A	297	0.0	1.0	0.0	0.0
SONICjobs	Arizona, USA	-112.2389189,33.6531917	false	Interested in a #job in #Peoria, AZ? This could be a great fit: https://t.co/uk5yocZ4mt #TeamSonic #SonicJobs https://t.co/b1UklOoUbJ	405	0.0	0.563	0.437	0.8519
Browneyes_2060	Phoenix, AZ	-112.061272,33.3808664	false	Definitely deserving! Congrats @chancetherapper #SoulTrainAwards "BEST New Artist Award!!	115	0.0	0.245	0.755	0.9469
SONICjobs	Phoenix, AZ	-112.1323768,33.6539661	false	Join the SONIC Drive-In team! See our latest #job opening here: https://t.co/Uq8todNdAs #TeamSonic #SonicJobs https://t.co/jD4DyzbpCq	411	0.0	0.849	0.151	0.3595
escapeseeker	Anthem, AZ	-112.13244115,33.85974318	false	When temperature inversions in the North causes air pollution induced health challenges, it's https://t.co/ljL9UmroZK	631	0.0	0.909	0.091	0.0772
Ace_tracks	Phoenix, AZ	-112.22197287,33.41028549	false	I aint like them other niqqas....and i ainty tryna play no games	126	0.314	0.511	0.175	-0.2287
TotalTrafficPHX	Phoenix, AZ	-112.1146,33.65461	false	Accident in #Phoenix on I - 17 SB at Union Hills Dr --- Exit 214a #PHXtraffic https://t.co/hUIi7Zewnk	412	0.171	0.829	0.0	-0.4767
matthewlive	Phoenix, AZ	-112.09395671,33.50017705	false	@ejknapp @danielpunkass The thing is, there are lots of young racists, misogynists, supremacists, classists, etc. Victims today cant wait.	233	0.328	0.672	0.0	-0.7783
ultabeautyjobs	Phoenix, AZ	-112.1580802,33.4239014	false	Want to work at Ulta Beauty? We're #hiring in #Phoenix, AZ! Click for details: https://t.co/oKX6Ne1lCb #Job https://t.co/G6GIXAL7Sj	150	0.0	0.736	0.264	0.6588
lisa_az	Phoenix, AZ	-112.07357892,33.44047463	false	Robert Ciuca #guitarist fairybonesmusic #livemusic #photography #rock @ Last Exit Live https://t.co/xqFtc1ftwr	174	0.0	1.0	0.0	0.0
SONICjobs	Phoenix, AZ	-112.152071,33.553538	false	Can you recommend anyone for this #job? Cook - https://t.co/U6USdq8enZ #ChefJobs #LineCook #Hospitality #Glendale, https://t.co/JpLTBmpD4G	290	0.0	0.839	0.161	0.3612
PhoenixCP	Phoenix, AZ	-112.09379298,33.46889822	false	Snowy Sunday: Thanks to Roxy Sirghi for sharing these photos from today near Flagstaff. Have any to send? Tag https://t.co/HQG6Pa84o2	193	0.0	0.759	0.241	0.6908
_PhoenixAZ	Phoenix, AZ	-112.07,33.45	false	clear sky -> overcast clouds temperature down 61F -> 48F humidity up 44% -> 87% wind 13mph -> 5mph	174	0.0	0.874	0.126	0.3818
mastermason619	Phoenix, AZ	-112.14052798,33.55087673	false	trishapaytas is bae! 1. Cause I love white girls & 2. Cause that https://t.co/yFBtLabF7c	291	0.0	0.71	0.29	0.6696
TotalTrafficPHX	Phoenix, AZ	-112.0302,33.44723	false	Police directing traffic in #Phoenix on 24th St at Jefferson St #PHXtraffic https://t.co/hUIi7Zewnk	177	0.0	1.0	0.0	0.0
TotalTrafficPHX	Phoenix, AZ	-112.0374,33.43673	false	Accident in #Phoenix on I - 10 WB at Buckeye Rd --- Exit 149 #PHXtraffic https://t.co/hUIi7Zewnk	176	0.181	0.819	0.0	-0.4767
JoinLabSupport	Phoenix, AZ	-112.0740373,33.4483771	false	Can you recommend anyone for this #job? Lab Support Outside Sales Representative (Account Manager) - https://t.co/ysP90MI0DN #Phoenix, AZ	174	0.0	0.743	0.257	0.6369
freedomofyou	Phoenix, AZ	-112.06640709,33.36989067	false	Caption this @ South Moutain https://t.co/s5geiiD9hh	95	0.0	1.0	0.0	0.0
pauldsimpson	Phoenix, AZ	-112.10288351,33.6114312	false	I'm at Autumn Ridge in Phoenix, AZ https://t.co/hyEJLkY3Z2	353	0.0	1.0	0.0	0.0
edgepodcaster	Phoenix, AZ	-111.98813796,33.45333159	false	Working late tonight. #Geek @ Matson Navigation https://t.co/1LkWblKiIq	199	0.0	1.0	0.0	0.0
Ya7ya_JF	Phoenix, AZ	-111.99941074,33.43576711	false	 (@ Phoenix Sky Harbor International Airport - @phxskyharbor in Phoenix, AZ) https://t.co/aUGwz0F67Z	178	0.0	1.0	0.0	0.0
Ace_tracks	Phoenix, AZ	-112.22197287,33.41028549	false	Lets go on a walk down town, vibe, learn about each other...	126	0.0	1.0	0.0	0.0
TotalTrafficPHX	Phoenix, AZ	-112.037,33.45864	false	Accident in #DowntownPhoenix on I - 10 WB at Lp 202 #PHXtraffic https://t.co/hUIi7Zewnk	196	0.22	0.78	0.0	-0.4767
SallyyyBee	Phoenix, AZ	-112.07638889,33.52833333	false	Fam  @ Phoenix, Arizona https://t.co/oI8PQRVFNG	274	0.0	1.0	0.0	0.0
akari_oozora	Phoenix, AZ	-112.06999969,33.45000076	false	Phoenix, AZ 9.5C | 49.1F Humidity: 99% Overcast https://t.co/R1tqw3jNtq	174	0.0	1.0	0.0	0.0
oozorakko	Phoenix, AZ	-112.06999969,33.45000076	false	@akari_oozora Source: "Approaching Dust Storm" by Matthew Jolly on Flickr https://t.co/wI508ZqWJC	174	0.0	0.752	0.248	0.5106
